forebrain_12.5	heart_12.5	hindbrain_12.5	limb_12.5	neuraltube_12.5	liver_12.5	midbrain_12.5	forebrain_13.5	heart_13.5	hindbrain_13.5	limb_13.5	neuraltube_13.5	liver_13.5	midbrain_13.5	forebrain_14.5	heart_14.5	hindbrain_14.5	limb_14.5	neuraltube_14.5	liver_14.5	midbrain_14.5	forebrain_15.5	heart_15.5	hindbrain_15.5	limb_15.5	neuraltube_15.5	liver_15.5	midbrain_15.5	forebrain_16.5	heart_16.5	hindbrain_16.5	liver_16.5	midbrain_16.5
H3K4me3_chip_left_intron	0.0763831191783502	-0.0481084308556603	0.0815013992877305	0.0586243705300725	0.0677346830930254	0.04477014323404	0.0495429566828072	0.0996479426634421	0.0239783434375946	0.0586368036461431	0.053115467680548	0.0620494484447397	0.0789860487090264	0.083334997491778	0.137279268808833	-0.0415954399377463	0.0420284051246863	0.000965063960934598	0.0111289993830364	0.0305190303482608	0.0615225260039569	0.0947052434973302	0.0130106573168121	0.0491202181589081	0.026812093952315	0.0143987351881975	-0.0120762372519149	0.0704397654387693	0.085462142717659	-0.0147222806694353	0.0312651020241135	0.00257761206250003	0.0511024401093376
H3K4me3_chip_left_exon	0.0869733574865681	-0.0291134421884482	0.0876014749783658	0.0668218524945305	0.0758554807648755	0.0485449329341857	0.0635580570599609	0.132387563726207	0.047318592330903	0.0695043217172974	0.0623639337315257	0.0649267554958313	0.0824646200303856	0.0875638837628926	0.146641870606498	-0.0284590442540735	0.0476050634245656	1.87445155182221e-05	0.00811752075496228	0.0297725845124819	0.0614303076468336	0.118356889901125	0.0375853898474022	0.060308759171985	0.0380660802149662	0.0144601764345385	-0.00896020507409962	0.08305181298009	0.10569434914583	0.00795634069608762	0.0389033817677339	0.00617104554330586	0.0520040077813882
H3K4me3_chip_right_intron	0.0960653096571481	-0.0183918689017499	0.0933919343762889	0.0772086350428892	0.0955166445902428	0.0571262048633261	0.0767584849053385	0.118869085921456	0.0533509232275818	0.068312216653721	0.0752012454343224	0.0810859162114381	0.101029432482054	0.0922600749746667	0.165255128830424	-0.0238799207484776	0.0536822161509475	-0.000808871650005809	0.0269848813639914	0.0392977043193489	0.0876101579580291	0.113188909416922	0.0508259495073767	0.0657429916814719	0.0445228310009229	0.0272628578857926	-0.00162855775651696	0.0864415070884812	0.0988423778474419	0.00836454482453819	0.0432123501848788	0.0121552205373366	0.0591518293731218
H3K4me3_chip_right_exon	0.0763831191783502	-0.0481084308556603	0.0815013992877305	0.0586243705300725	0.0677346830930254	0.04477014323404	0.0495429566828072	0.0996479426634421	0.0239783434375946	0.0586368036461431	0.053115467680548	0.0620494484447397	0.0789860487090264	0.083334997491778	0.137279268808833	-0.0415954399377463	0.0420284051246863	0.000965063960934598	0.0111289993830364	0.0305190303482608	0.0615225260039569	0.0947052434973302	0.0130106573168121	0.0491202181589081	0.026812093952315	0.0143987351881975	-0.0120762372519149	0.0704397654387693	0.085462142717659	-0.0147222806694353	0.0312651020241135	0.00257761206250003	0.0511024401093376
H3K9ac_chip_left_intron	0.0771084478097159	-0.02772107654474	0.0939982324104713	0.0580705258133269	0.0640702928870961	0.0544714647365819	0.0551103223030058	0.139792887309644	0.0779757516006728	0.0663284873462256	0.0648219051716669	0.0757263727138175	0.087794328107624	0.111043963121534	0.197220788773701	-0.0142890221061354	0.0397309941643139	0.0017342518975946	0.0130740458936144	0.0367094019815897	0.077458444095254	0.12917511756894	0.0245244170013254	0.0390680083460101	0.0275617620552134	0.00644608860702816	-0.00803191147394983	0.057215316282288	0.080968215435615	0.0421026440600585	0.0310553980508182	0.000806187374281117	0.0602137712065465
H3K9ac_chip_left_exon	0.117531020330185	-0.0124029039978344	0.0875792737751145	0.0644400835427894	0.078420164607239	0.0601662554618706	0.0536075734722272	0.108347400384887	0.0994941881592868	0.0642541024107384	0.066592787060954	0.0706486232278583	0.0884161251256827	0.123806058275376	0.205616574203095	-0.0156472071883672	0.0611510954300069	0.00191333172153325	0.00508815493518341	0.0353546014144906	0.0782647126402882	0.111356782948643	0.0684434954260325	0.0474398077381326	0.0355449947526093	0.00637822558864648	-0.00649008677032422	0.0995636257578188	0.0905195630168625	0.0898236462487645	0.0402418413016044	0.00283861805576016	0.064684413590671
H3K9ac_chip_right_intron	0.0947343389785808	0.0196689865671213	0.0968770764382433	0.0848266636953483	0.0970472260935336	0.0601617070795137	0.0674139433002732	0.121228563233727	0.114701124479543	0.0563969135807436	0.0705749677230613	0.0843229039549339	0.097547300801038	0.106664569964717	0.22595654708127	-0.0103392290547993	0.0635308322377961	2.20630579286795e-05	0.0231926213479816	0.0413983754909289	0.0967762923143503	0.136662246889624	0.0768284088503796	0.0521247502976096	0.0513611622538521	0.0285682771976283	-0.0157735148651141	0.0900996197316037	0.0799931874575213	0.108700307167188	0.0401804835831333	0.0043436745248588	0.06367834828851
H3K9ac_chip_right_exon	0.0771084478097159	-0.02772107654474	0.0939982324104713	0.0580705258133269	0.0640702928870961	0.0544714647365819	0.0551103223030058	0.139792887309644	0.0779757516006728	0.0663284873462256	0.0648219051716669	0.0757263727138175	0.087794328107624	0.111043963121534	0.197220788773701	-0.0142890221061354	0.0397309941643139	0.0017342518975946	0.0130740458936144	0.0367094019815897	0.077458444095254	0.12917511756894	0.0245244170013254	0.0390680083460101	0.0275617620552134	0.00644608860702816	-0.00803191147394983	0.057215316282288	0.080968215435615	0.0421026440600585	0.0310553980508182	0.000806187374281117	0.0602137712065465
H3K9me3_chip_left_intron	0.0455668720940781	-0.0495576733135331	0.00381723646780536	-0.0128862317070554	-0.00302212894285548	0.0101084423162013	-0.00526659185758093	0.0501613072326965	0.0453654966142885	0.0772337014035576	-0.00864623317895369	0.024023498117508	0.0224924719223826	-0.00115511726560209	0.10663883695032	-0.031102890217548	0.046372192140885	0.0144631547580117	0.0105486543107208	0.0246961062472743	0.0257230012075992	0.0399689523414587	-0.00770076429202199	0.0147986415066803	0.00319393575482577	0.0110421489721783	-0.00414341999554641	0.064190910649283	0.0493335124568219	-7.49742731092112e-05	0.0764639128100797	0.00337272930914335	0.00518711196423406
H3K9me3_chip_left_exon	-0.00776850865218083	-0.0757157941582305	0.0228982652355482	-0.00240149291246289	0.00812965610138008	0.0187632702423053	0.015372130130245	0.0265359486839433	-0.00162982760692112	0.0335508610408101	0.00791453143568658	0.00834608224284997	0.00262048565051865	-0.0105107829437454	0.0713584269670299	0.0544073552624737	0.024160912508948	0.00699431085923649	-0.00314493074003599	0.00288244327769918	0.0402218515607532	0.00440981179776289	0.0387115148860878	0.0266820646588068	0.00497816601805217	0.00728635611774424	0.0292809881019109	0.0277728341981871	0.0340220176177189	-0.0254045587775461	0.0232313205860258	0.00373222133360961	-0.000377911489717552
